Machine,Model,SO_LI,CW,Component,Size,QTY,Knit Start date,Knit end date
A01,AIR MARIAH,80002132::020,918264-403,LU,10.5,123,20180108,20180108
A01,AIR MARIAH,80002132::020,918264-403,LU,15,3,20180109,20180109
A01,AIR MARIAH,80002132::020,918264-403,LU,14,5,20180109,20180109
